dataset,id,period,region,channel,device,segment,age,tenure_months,income,balance,visits_7d,visits_30d,dwell_seconds,discount_rate,basket_value,support_tickets,loan_amount,utilization,delinquencies,bureau_score,employment_years,inquiry_count,macro_index,merchant_risk,behavior_score,missingness_flag,decoy_score,target
credit,credit_00137,P2,suburban,broker,,near_prime,38,5,1877.34,,,,,,,,14502.64,0.3588,0,746.6,10.9,5,0.0778,,0.30946,0,0.10361,0
credit,credit_00138,P3,metro,branch,,prime,43,43,7841.34,,,,,,,,22667.66,0.3232,0,688.1,4.6,2,-0.2792,,0.2436,0,0.07607,0
credit,credit_00139,P1,suburban,branch,,prime,,69,2787.43,,,,,,,,6688.12,0.214,1,596.6,,0,0.4814,,0.0,0,0.07436,1
credit,credit_00140,P1,suburban,branch,,high_yield,33,4,3376.43,,,,,,,,20939.62,0.9068,0,689.2,3.0,1,-0.2669,,0.79056,0,0.91672,1
credit,credit_00141,P3,metro,branch,,thin_file,38,2,,,,,,,,,14516.86,0.4857,0,645.8,4.7,3,-0.5017,,0.67831,1,0.25567,1
credit,credit_00142,P3,industrial,partner,,high_yield,32,27,7030.55,,,,,,,,15986.36,0.22,0,678.1,4.8,0,0.0268,,0.28797,0,0.40264,0
credit,credit_00143,P1,metro,broker,,near_prime,61,2,3750.75,,,,,,,,16515.43,0.4874,1,670.8,4.4,0,-0.591,,0.45695,0,0.26624,0
credit,credit_00144,P3,industrial,mobile,,prime,31,82,5513.02,,,,,,,,16760.82,0.6218,0,668.1,10.8,2,0.1257,,0.3319,0,0.0,0
credit,credit_00145,P1,metro,partner,,thin_file,40,54,,,,,,,,,14673.48,0.9135,0,651.3,3.7,3,0.1682,,0.43027,1,0.51576,0
credit,credit_00146,P1,metro,mobile,,prime,19,,7358.49,,,,,,,,21704.09,0.4717,1,631.4,10.2,0,-0.1215,,0.33992,0,0.31485,0
credit,credit_00147,P2,regional,broker,,prime,40,0,7138.92,,,,,,,,33075.35,0.3744,1,634.5,6.8,1,0.051,,0.34776,0,0.48139,1
credit,credit_00148,P2,industrial,branch,,prime,49,16,6421.66,,,,,,,,8368.86,0.4631,0,596.9,12.2,0,-0.42,,0.20709,0,0.0,0
credit,credit_00149,P1,metro,branch,,near_prime,32,29,7292.57,,,,,,,,34085.08,0.4719,0,666.3,3.8,1,-0.4765,,0.36937,0,0.32345,0
credit,credit_00150,P1,metro,partner,,near_prime,39,7,4409.09,,,,,,,,30035.78,0.4309,0,,12.0,0,0.2284,,0.20108,0,0.12111,1
credit,credit_00151,P2,suburban,broker,,thin_file,62,27,6479.1,,,,,,,,20112.96,0.6166,2,535.8,8.7,0,-0.193,,0.9982,0,0.84925,0
credit,credit_00152,P2,suburban,partner,,thin_file,29,24,5550.11,,,,,,,,9241.44,0.2289,0,571.6,2.9,3,-0.2713,,0.32446,1,0.24262,0
credit,credit_00153,P2,metro,broker,,high_yield,41,41,5149.26,,,,,,,,20407.46,0.7519,0,645.4,14.9,1,0.2536,,0.43079,0,0.39494,1
credit,credit_00154,P1,metro,branch,,near_prime,61,110,5030.13,,,,,,,,24823.93,0.4584,0,609.1,2.9,1,-0.2597,,0.12403,0,0.3213,0
credit,credit_00155,P2,metro,branch,,near_prime,39,46,5065.78,,,,,,,,26290.29,0.1909,0,582.9,8.7,0,0.2746,,0.52122,0,0.19079,0
credit,credit_00156,P3,metro,partner,,prime,37,20,3769.89,,,,,,,,26784.31,0.8097,0,679.8,7.5,0,-0.2246,,0.41322,0,0.54266,0
credit,credit_00157,P1,suburban,branch,,prime,38,31,6224.72,,,,,,,,700.0,0.1369,0,631.7,5.0,2,-0.6447,,0.23348,0,0.20699,0
credit,credit_00158,P3,metro,partner,,near_prime,54,7,6551.59,,,,,,,,31178.46,0.4539,0,613.0,15.1,0,0.2273,,0.40955,0,0.28202,1
credit,credit_00159,P2,suburban,branch,,thin_file,,21,5380.42,,,,,,,,24764.04,0.2276,0,640.3,1.8,4,0.0248,,0.38805,1,0.42894,1
credit,credit_00160,P1,metro,branch,,near_prime,55,89,1703.22,,,,,,,,6962.08,0.4327,0,637.4,6.0,4,-0.43,,0.09954,0,0.25038,1
credit,credit_00161,P2,metro,branch,,prime,44,7,7263.19,,,,,,,,16185.94,0.432,3,592.5,5.9,5,-0.5436,,0.62311,0,0.44958,1
credit,credit_00162,P2,metro,partner,,high_yield,34,12,5016.25,,,,,,,,29725.42,0.3337,0,620.4,5.7,0,-0.5814,,0.55052,0,0.48389,0
credit,credit_00163,P2,regional,branch,,near_prime,54,36,5755.3,,,,,,,,17353.36,0.4409,0,614.1,2.5,0,-0.0564,,0.47301,0,0.57719,0
credit,credit_00164,P2,suburban,mobile,,prime,69,4,3019.11,,,,,,,,9072.65,0.5899,0,704.0,11.2,3,0.2779,,0.23445,0,0.24468,0
credit,credit_00165,P1,regional,branch,,near_prime,38,15,6429.22,,,,,,,,16698.48,0.5695,0,608.3,2.3,0,0.0779,,0.64689,0,0.07517,0
credit,credit_00166,P1,suburban,mobile,,near_prime,58,52,5395.03,,,,,,,,23352.93,0.0706,1,664.9,10.4,0,-0.6924,,0.12643,0,0.0,0
