dataset,id,period,region,channel,device,segment,age,tenure_months,income,balance,visits_7d,visits_30d,dwell_seconds,discount_rate,basket_value,support_tickets,loan_amount,utilization,delinquencies,bureau_score,employment_years,inquiry_count,macro_index,merchant_risk,behavior_score,missingness_flag,decoy_score,target
conversion,conversion_00687,P3,suburban,search,ios,premium,41.0,14.0,2149.81,897.3,5.0,51.0,44.05,0.2047,68.9,0.0,,,,,,,,0.156,0.84346,0,0.7924,0
conversion,conversion_00339,P3,metro,affiliate,android,value,35.0,6.0,3593.71,4810.4,2.0,20.0,71.03,0.1627,36.4,2.0,,,,,,,,0.4464,0.44001,0,0.49807,0
conversion,conversion_00876,P3,regional,email,android,value,49.0,1.0,6279.46,3805.82,5.0,18.0,97.15,0.1804,30.39,3.0,,,,,,,,0.2222,0.26016,0,0.42167,0
conversion,conversion_00252,P2,suburban,email,ios,premium,18.0,23.0,4568.85,2448.2,16.0,26.0,113.19,0.3311,117.42,1.0,,,,,,,,0.1329,0.94804,0,1.0,1
conversion,conversion_00557,P3,suburban,affiliate,ios,standard,36.0,19.0,7345.51,11969.72,9.0,15.0,196.82,0.4402,72.38,0.0,,,,,,,,0.0924,1.0,0,0.82791,1
conversion,conversion_00470,P1,island,direct,tablet,new,35.0,16.0,4544.73,6591.69,14.0,40.0,48.91,0.383,13.39,0.0,,,,,,,,0.1879,0.68185,0,0.99534,1
conversion,conversion_00642,P1,island,affiliate,tablet,value,18.0,,4695.59,7394.61,2.0,8.0,29.32,0.2707,21.75,3.0,,,,,,,,0.3734,0.20569,0,0.1133,0
conversion,conversion_00790,P2,suburban,social,tablet,new,44.0,58.0,5599.14,3258.29,4.0,46.0,63.11,0.2171,21.38,0.0,,,,,,,,0.5012,0.33175,0,0.27621,0
conversion,conversion_00324,P3,metro,social,ios,standard,43.0,,2480.46,1435.99,5.0,26.0,83.68,0.1105,33.89,1.0,,,,,,,,0.053,0.6532,0,0.72799,1
conversion,conversion_00393,P3,metro,social,android,value,25.0,0.0,5107.1,3461.59,11.0,24.0,52.12,0.1473,89.87,0.0,,,,,,,,0.3504,0.63133,1,0.61852,1
conversion,conversion_00613,P1,island,email,android,standard,,25.0,,6915.89,11.0,11.0,153.48,0.3641,72.96,0.0,,,,,,,,0.1345,0.69806,1,0.87957,1
conversion,conversion_00819,P1,island,direct,ios,value,40.0,10.0,3248.18,2617.0,15.0,17.0,57.28,0.5591,38.88,1.0,,,,,,,,0.2654,0.71524,0,0.69206,1
conversion,conversion_00123,P3,suburban,affiliate,tablet,standard,18.0,34.0,5309.46,,12.0,32.0,101.32,0.0728,87.31,0.0,,,,,,,,0.2099,0.74017,0,0.90232,1
conversion,conversion_00394,P3,regional,direct,desktop,value,26.0,2.0,4037.35,3122.02,8.0,27.0,115.42,0.1904,46.94,0.0,,,,,,,,0.2363,0.75521,0,0.83729,1
conversion,conversion_00789,P1,island,social,android,premium,49.0,21.0,4153.52,5207.94,8.0,23.0,105.48,0.044,44.23,0.0,,,,,,,,0.4519,0.40582,1,0.43097,1
conversion,conversion_00442,P3,suburban,social,android,premium,26.0,0.0,4169.02,4002.77,7.0,22.0,82.7,0.142,35.66,3.0,,,,,,,,0.5145,0.43532,0,0.30316,0
conversion,conversion_00679,P2,regional,social,ios,value,42.0,3.0,2739.56,2945.14,14.0,26.0,268.84,0.0807,62.78,2.0,,,,,,,,0.1854,0.69504,0,0.97123,1
conversion,conversion_00723,P2,regional,direct,desktop,new,41.0,74.0,2912.4,4686.54,9.0,11.0,78.79,0.197,43.57,3.0,,,,,,,,0.0737,0.60978,0,0.8416,1
conversion,conversion_00889,P3,island,search,ios,premium,38.0,2.0,6508.21,7579.35,2.0,19.0,117.48,0.1645,82.91,0.0,,,,,,,,0.3757,0.7336,0,0.64578,1
conversion,conversion_00133,P3,island,social,tablet,standard,21.0,26.0,,1915.34,11.0,28.0,33.02,0.3406,80.34,0.0,,,,,,,,0.0349,0.53086,0,0.64266,1
conversion,conversion_00003,P1,regional,affiliate,ios,value,43.0,16.0,1200.0,1882.79,11.0,31.0,101.27,0.2669,122.42,0.0,,,,,,,,0.2436,0.87917,0,0.71083,1
conversion,conversion_00465,P2,metro,email,tablet,standard,39.0,6.0,2393.54,,12.0,28.0,83.63,0.3923,60.53,2.0,,,,,,,,0.2878,0.65393,0,0.78433,1
conversion,conversion_00274,P3,metro,direct,tablet,standard,27.0,2.0,4992.19,5182.73,10.0,43.0,48.05,0.2917,95.07,3.0,,,,,,,,0.3382,0.76841,0,0.54007,1
conversion,conversion_00321,P3,metro,affiliate,android,standard,34.0,13.0,3332.29,2053.83,3.0,33.0,12.63,0.259,54.14,2.0,,,,,,,,0.551,0.3198,0,0.61599,1
conversion,conversion_00637,P3,regional,social,android,premium,37.0,2.0,2813.69,4780.71,10.0,32.0,76.88,0.1,23.31,0.0,,,,,,,,0.5013,0.68939,0,0.48508,1
conversion,conversion_00587,P3,suburban,direct,android,standard,,11.0,,2487.46,9.0,24.0,136.47,0.0831,43.27,0.0,,,,,,,,0.2962,0.65874,1,0.62584,0
conversion,conversion_00569,P1,suburban,direct,desktop,new,51.0,31.0,5654.13,5914.23,3.0,46.0,131.37,0.0864,53.22,2.0,,,,,,,,0.3261,0.48265,0,0.47478,0
conversion,conversion_00101,P1,regional,email,android,standard,53.0,33.0,3273.37,4712.62,11.0,46.0,79.45,0.2025,26.09,0.0,,,,,,,,0.5327,0.66649,1,0.02742,1
conversion,conversion_00499,P1,suburban,email,desktop,value,30.0,8.0,3850.73,4431.89,1.0,1.0,95.85,0.1306,45.95,0.0,,,,,,,,0.1721,0.56426,0,0.42828,0
conversion,conversion_00795,P1,metro,search,desktop,standard,23.0,2.0,5126.71,2732.75,6.0,11.0,114.73,0.3684,122.62,3.0,,,,,,,,0.5423,0.78713,0,0.60531,1
conversion,conversion_00039,P1,island,email,android,value,48.0,17.0,4701.17,,2.0,4.0,295.74,0.4103,26.54,0.0,,,,,,,,0.3858,0.51247,0,0.6925,0
conversion,conversion_00830,P2,regional,search,ios,standard,41.0,56.0,4956.97,5908.35,8.0,35.0,273.6,0.5136,51.85,3.0,,,,,,,,0.2458,0.87949,0,0.47797,1
conversion,conversion_00349,P2,island,direct,android,standard,26.0,51.0,2677.46,,15.0,51.0,475.3,0.0067,40.98,0.0,,,,,,,,0.5528,0.70709,0,0.86761,0
conversion,conversion_00439,P2,island,social,tablet,premium,45.0,8.0,5374.01,7132.96,15.0,26.0,138.04,0.1088,35.17,1.0,,,,,,,,0.3243,0.89417,0,1.0,1
conversion,conversion_00851,P1,regional,email,ios,value,26.0,7.0,1976.46,2995.14,7.0,44.0,56.06,0.1336,10.41,3.0,,,,,,,,0.3181,0.1732,0,0.31323,0
conversion,conversion_00102,P2,island,email,tablet,premium,37.0,5.0,4618.4,,8.0,39.0,45.53,0.0866,25.31,1.0,,,,,,,,0.5684,0.59121,0,0.38054,0
conversion,conversion_00360,P3,regional,search,ios,standard,38.0,7.0,5778.62,5163.13,10.0,39.0,109.92,0.0059,14.76,0.0,,,,,,,,0.1319,0.94067,0,0.76164,1
conversion,conversion_00737,P1,suburban,social,tablet,premium,37.0,11.0,6194.3,3400.84,11.0,51.0,479.24,0.3951,37.46,2.0,,,,,,,,0.4392,0.7936,0,0.48296,1
conversion,conversion_00669,P3,metro,direct,android,new,28.0,21.0,2960.43,2517.98,14.0,48.0,85.5,0.1628,23.68,0.0,,,,,,,,0.189,0.80551,0,0.57178,1
conversion,conversion_00839,P2,suburban,search,ios,standard,40.0,3.0,4813.65,4922.81,9.0,26.0,58.12,0.0228,77.79,0.0,,,,,,,,0.4943,0.63086,0,0.5857,1
conversion,conversion_00450,P2,island,search,tablet,premium,32.0,4.0,3837.58,6350.62,1.0,30.0,180.22,0.2435,141.16,0.0,,,,,,,,0.6394,0.56122,0,0.55555,1
conversion,conversion_00154,P2,island,email,ios,value,51.0,20.0,5456.46,7524.46,9.0,55.0,89.9,0.5372,123.54,2.0,,,,,,,,0.3396,0.84025,0,0.96724,1
conversion,conversion_00728,P2,metro,affiliate,ios,new,50.0,79.0,5103.57,6699.18,10.0,54.0,82.98,0.0583,49.25,0.0,,,,,,,,0.5122,0.73648,0,0.74267,1
conversion,conversion_00239,P2,regional,search,tablet,standard,30.0,11.0,2322.73,2084.42,3.0,12.0,52.42,0.1957,25.48,2.0,,,,,,,,0.4775,0.35981,0,0.36032,0
conversion,conversion_00189,P3,suburban,search,desktop,new,56.0,51.0,,6690.56,12.0,31.0,91.82,0.0304,63.41,1.0,,,,,,,,0.3814,0.65555,0,0.611,0
conversion,conversion_00482,P3,regional,affiliate,tablet,value,31.0,4.0,4349.48,5017.44,6.0,23.0,163.28,0.0572,78.57,0.0,,,,,,,,0.235,0.71347,0,0.58766,1
conversion,conversion_00458,P1,metro,social,tablet,value,57.0,29.0,5880.38,4658.76,7.0,53.0,91.9,0.1408,34.06,1.0,,,,,,,,0.3774,0.81026,0,0.53107,0
conversion,conversion_00131,P1,metro,email,tablet,premium,38.0,4.0,6604.16,6583.72,8.0,52.0,132.59,0.2402,50.09,0.0,,,,,,,,0.0818,0.91004,0,0.83254,1
conversion,conversion_00727,P3,suburban,social,ios,new,38.0,,5571.37,,4.0,22.0,21.3,0.1278,43.22,0.0,,,,,,,,0.618,0.40137,0,0.79523,1
conversion,conversion_00002,P3,metro,direct,ios,standard,21.0,6.0,3800.32,2575.99,13.0,25.0,,0.0807,33.39,0.0,,,,,,,,0.1792,0.72349,0,0.70126,1
conversion,conversion_00822,P3,metro,email,desktop,value,27.0,33.0,4420.8,6831.78,15.0,30.0,312.65,0.1516,96.94,1.0,,,,,,,,0.4164,0.86423,0,1.0,0
conversion,conversion_00309,P2,island,social,android,value,42.0,28.0,2878.33,2856.68,12.0,35.0,94.65,0.3901,19.16,1.0,,,,,,,,0.3776,0.73442,1,0.97552,1
conversion,conversion_00120,P2,island,direct,android,premium,39.0,0.0,3467.19,3126.97,6.0,9.0,,0.0892,45.04,0.0,,,,,,,,0.3332,0.54139,1,0.6727,0
conversion,conversion_00212,P1,suburban,search,tablet,new,53.0,1.0,3015.22,2877.26,15.0,60.0,106.22,0.4826,99.27,0.0,,,,,,,,0.1132,0.81479,0,0.91341,1
conversion,conversion_00238,P3,metro,affiliate,ios,premium,52.0,60.0,3912.43,3068.45,2.0,11.0,43.6,0.3522,42.26,0.0,,,,,,,,0.2118,0.53966,0,0.83997,0
conversion,conversion_00230,P3,regional,search,tablet,new,56.0,3.0,3056.35,3665.53,8.0,14.0,161.07,0.028,50.99,0.0,,,,,,,,0.3492,0.73005,0,0.60409,1
conversion,conversion_00233,P3,island,direct,tablet,premium,28.0,5.0,4969.43,2359.98,5.0,49.0,120.86,0.4992,41.31,1.0,,,,,,,,0.4106,0.80791,0,0.82505,1
conversion,conversion_00215,P3,regional,direct,android,value,61.0,0.0,4630.46,6598.63,13.0,53.0,34.31,0.2785,52.48,0.0,,,,,,,,0.2525,0.79194,0,0.97017,1
conversion,conversion_00308,P3,metro,direct,tablet,value,36.0,9.0,3600.94,2359.08,15.0,61.0,232.32,0.1915,524.09,0.0,,,,,,,,0.587,1.0,0,0.49033,1
conversion,conversion_00549,P1,metro,direct,tablet,standard,51.0,15.0,2246.62,2512.17,14.0,48.0,29.9,0.2114,40.72,2.0,,,,,,,,0.2086,0.81537,0,0.74673,1
conversion,conversion_00210,P3,suburban,affiliate,desktop,standard,39.0,10.0,2540.41,1402.95,4.0,32.0,150.34,0.1217,117.59,2.0,,,,,,,,0.4046,0.29439,0,0.47234,1
conversion,conversion_00090,P3,metro,email,desktop,new,30.0,24.0,7594.76,10324.28,13.0,57.0,228.79,0.3732,127.76,0.0,,,,,,,,0.2451,1.0,0,0.9365,1
conversion,conversion_00759,P2,regional,affiliate,tablet,standard,35.0,4.0,4422.83,5920.65,8.0,30.0,39.76,0.2702,26.9,1.0,,,,,,,,0.4733,0.46692,0,0.37965,1
conversion,conversion_00875,P1,metro,email,android,standard,59.0,0.0,4101.81,6122.0,16.0,48.0,66.45,0.1329,192.06,0.0,,,,,,,,0.7501,0.8428,1,0.65022,1
conversion,conversion_00492,P3,regional,email,android,premium,21.0,7.0,5251.19,3388.67,3.0,28.0,403.51,0.1213,34.69,3.0,,,,,,,,0.2142,0.34801,0,0.39145,0
conversion,conversion_00773,P1,island,social,tablet,standard,53.0,13.0,4174.94,2087.37,7.0,13.0,87.31,0.0425,39.95,0.0,,,,,,,,0.5938,0.45059,0,0.0509,0
conversion,conversion_00778,P1,suburban,social,ios,new,25.0,34.0,2996.64,2607.21,4.0,24.0,75.29,0.154,56.07,0.0,,,,,,,,0.454,0.4948,0,0.69091,0
conversion,conversion_00863,P2,suburban,social,ios,standard,44.0,24.0,1678.99,1764.75,7.0,11.0,111.33,0.0206,67.12,3.0,,,,,,,,0.3966,0.58614,0,0.62084,1
conversion,conversion_00174,P2,regional,direct,ios,value,32.0,4.0,5698.54,8736.22,4.0,36.0,43.88,0.1909,40.02,1.0,,,,,,,,0.0482,0.87768,0,0.55037,1
conversion,conversion_00886,P1,island,direct,desktop,standard,19.0,16.0,8244.1,,2.0,36.0,67.56,0.2943,67.6,2.0,,,,,,,,0.0804,0.76107,0,0.64731,1
conversion,conversion_00798,P3,metro,search,android,premium,46.0,,2538.66,4021.3,16.0,41.0,38.94,0.2046,198.29,2.0,,,,,,,,0.3425,1.0,0,0.86598,1
conversion,conversion_00786,P1,suburban,affiliate,android,value,,30.0,1200.0,596.17,12.0,33.0,127.96,0.3442,80.67,3.0,,,,,,,,0.4138,0.798,0,0.69975,0
conversion,conversion_00481,P2,suburban,email,tablet,value,,11.0,5200.25,2801.37,8.0,30.0,38.78,0.2958,111.7,1.0,,,,,,,,0.2661,0.56309,0,0.84802,1
conversion,conversion_00736,P3,regional,email,tablet,new,28.0,,4967.45,4139.53,16.0,17.0,38.06,0.4286,94.18,0.0,,,,,,,,0.4832,0.76727,0,0.86628,1
conversion,conversion_00361,P3,island,email,tablet,value,18.0,2.0,,5943.31,3.0,5.0,76.16,0.166,68.66,0.0,,,,,,,,0.0673,0.70745,0,0.46607,1
conversion,conversion_00313,P1,suburban,direct,desktop,new,21.0,55.0,2360.53,2361.62,7.0,12.0,120.21,0.1707,54.64,1.0,,,,,,,,0.4233,0.81989,0,0.65743,0
conversion,conversion_00338,P2,suburban,social,android,standard,53.0,2.0,3148.91,2710.2,10.0,50.0,84.1,0.0481,44.15,3.0,,,,,,,,0.268,0.59193,1,0.71397,1
conversion,conversion_00244,P3,metro,affiliate,tablet,value,64.0,12.0,3359.42,2955.28,16.0,44.0,51.5,0.1892,77.2,0.0,,,,,,,,0.4742,0.7571,0,1.0,1
conversion,conversion_00807,P2,suburban,direct,tablet,new,41.0,19.0,1200.0,1337.14,4.0,40.0,78.09,0.2748,45.36,0.0,,,,,,,,0.5022,0.73166,0,0.52089,0
conversion,conversion_00045,P3,metro,social,desktop,new,,14.0,1481.61,1675.59,11.0,33.0,25.06,0.3992,29.01,0.0,,,,,,,,0.0546,0.88884,0,0.71495,1
conversion,conversion_00763,P2,regional,affiliate,ios,premium,51.0,2.0,1979.04,2001.28,13.0,36.0,344.47,0.4259,32.63,1.0,,,,,,,,0.3218,1.0,0,0.85447,0
conversion,conversion_00690,P3,island,social,ios,standard,39.0,12.0,1257.53,1944.54,9.0,40.0,39.22,0.1396,39.72,0.0,,,,,,,,0.2974,0.6538,0,0.55542,1
conversion,conversion_00063,P1,suburban,social,ios,new,43.0,12.0,4478.52,5225.67,11.0,25.0,91.43,0.1033,73.55,3.0,,,,,,,,0.0747,0.50621,0,0.48077,0
conversion,conversion_00663,P1,island,social,android,new,43.0,8.0,7147.19,5711.06,16.0,52.0,56.44,0.4157,30.87,1.0,,,,,,,,0.4996,0.65797,1,0.42609,0
conversion,conversion_00665,P2,regional,search,ios,new,39.0,1.0,3853.5,3578.48,0.0,32.0,111.94,0.1469,44.56,3.0,,,,,,,,0.2089,0.50547,0,0.80843,0
conversion,conversion_00449,P1,suburban,direct,android,value,56.0,2.0,5666.98,5601.57,5.0,46.0,43.12,0.0558,29.53,0.0,,,,,,,,0.3909,0.33943,0,0.43243,0
conversion,conversion_00768,P1,suburban,direct,android,standard,27.0,49.0,3705.18,4064.19,8.0,49.0,88.52,0.089,52.63,0.0,,,,,,,,0.2191,0.62603,0,0.74063,0
conversion,conversion_00335,P3,suburban,direct,android,value,26.0,7.0,3331.41,2365.06,10.0,12.0,31.08,0.2008,88.48,0.0,,,,,,,,0.304,0.86508,1,0.80154,1
conversion,conversion_00498,P3,suburban,social,tablet,new,27.0,62.0,2273.91,1998.07,15.0,22.0,95.61,0.1337,28.96,1.0,,,,,,,,0.3763,0.55691,0,0.93377,0
conversion,conversion_00373,P2,regional,affiliate,desktop,new,32.0,33.0,3829.17,1626.09,2.0,46.0,177.0,0.1174,39.08,0.0,,,,,,,,0.1603,0.63093,0,0.4646,0
conversion,conversion_00397,P1,metro,search,android,premium,37.0,33.0,3861.57,5018.78,15.0,45.0,23.32,0.2633,65.49,1.0,,,,,,,,0.2004,0.85797,1,0.67729,0
conversion,conversion_00270,P1,regional,affiliate,android,value,58.0,19.0,4088.16,2579.09,14.0,19.0,49.97,0.2515,75.61,3.0,,,,,,,,0.3167,0.60492,1,0.29814,0
conversion,conversion_00433,P2,island,direct,tablet,new,33.0,9.0,4813.11,2616.92,3.0,33.0,146.41,0.2907,47.87,0.0,,,,,,,,0.4114,0.68377,0,0.68833,1
conversion,conversion_00220,P3,regional,social,desktop,premium,23.0,11.0,6078.17,4318.11,0.0,22.0,133.57,0.0461,47.15,3.0,,,,,,,,0.1893,0.51784,0,0.68013,1
conversion,conversion_00567,P3,regional,email,ios,standard,43.0,1.0,3580.18,4407.92,11.0,53.0,148.36,0.5427,89.75,0.0,,,,,,,,0.1444,0.7883,0,0.89957,1
conversion,conversion_00110,P1,regional,email,android,standard,35.0,45.0,6212.72,7554.22,14.0,39.0,190.61,0.2299,43.28,0.0,,,,,,,,0.4511,0.83093,0,0.94229,1
conversion,conversion_00841,P3,suburban,direct,tablet,premium,38.0,2.0,2559.98,1765.41,14.0,26.0,69.41,0.1938,36.09,2.0,,,,,,,,0.2486,0.73769,0,0.85093,0
conversion,conversion_00217,P2,regional,social,desktop,new,30.0,3.0,,3635.08,10.0,14.0,130.31,0.13,30.0,0.0,,,,,,,,0.4939,0.77534,0,0.65816,0
conversion,conversion_00847,P1,metro,direct,ios,standard,46.0,27.0,5031.65,7513.41,0.0,46.0,147.18,0.1742,32.21,2.0,,,,,,,,0.6642,0.67528,0,0.21698,0
conversion,conversion_00884,P2,suburban,affiliate,android,value,55.0,6.0,6284.27,8312.42,13.0,17.0,54.2,0.2012,19.8,2.0,,,,,,,,0.4019,0.45462,0,0.56405,1
conversion,conversion_00553,P2,island,direct,ios,standard,27.0,22.0,2471.9,,9.0,27.0,313.21,0.1329,25.36,0.0,,,,,,,,0.0411,0.77682,0,0.92177,1
conversion,conversion_00612,P1,regional,search,ios,value,22.0,,,1644.01,2.0,37.0,71.38,0.3486,99.5,3.0,,,,,,,,0.2979,0.60791,0,0.68081,1
conversion,conversion_00374,P2,island,email,desktop,new,45.0,4.0,1893.27,,8.0,35.0,226.66,0.3163,92.55,0.0,,,,,,,,0.2761,0.62123,0,0.95316,1
conversion,conversion_00227,P1,metro,email,desktop,new,38.0,83.0,3054.57,2779.59,9.0,26.0,42.44,0.2204,28.91,0.0,,,,,,,,0.459,0.76525,0,0.72911,1
conversion,conversion_00808,P1,metro,search,desktop,premium,39.0,12.0,4207.96,4825.18,4.0,48.0,332.16,0.2836,70.48,0.0,,,,,,,,0.2913,0.61743,0,0.71723,0
conversion,conversion_00564,P1,metro,email,android,new,34.0,14.0,7355.97,9085.52,7.0,29.0,44.03,0.243,89.61,1.0,,,,,,,,0.2865,0.59071,1,0.72794,1
conversion,conversion_00614,P2,island,social,desktop,standard,29.0,16.0,,3470.05,16.0,17.0,58.44,0.0991,91.99,2.0,,,,,,,,0.3666,0.70978,0,0.67215,1
conversion,conversion_00556,P2,regional,direct,desktop,new,32.0,35.0,6353.82,9190.39,4.0,22.0,59.04,0.0959,44.66,3.0,,,,,,,,0.3271,0.4572,0,0.43853,0
conversion,conversion_00379,P2,metro,direct,ios,value,18.0,7.0,2433.35,1244.53,9.0,39.0,45.31,0.2209,51.24,1.0,,,,,,,,0.4174,0.69045,0,0.71981,1
conversion,conversion_00788,P1,suburban,affiliate,ios,premium,36.0,30.0,3344.43,3378.18,16.0,52.0,50.43,0.4484,93.18,3.0,,,,,,,,0.4628,0.82696,0,0.67258,1
conversion,conversion_00290,P3,metro,social,tablet,standard,28.0,2.0,3135.65,3377.43,7.0,51.0,189.61,0.2512,91.52,0.0,,,,,,,,0.216,0.68605,0,0.72411,1
conversion,conversion_00008,P3,metro,direct,ios,value,28.0,11.0,3802.12,6291.49,16.0,37.0,139.89,0.4161,20.07,0.0,,,,,,,,0.2676,1.0,0,0.77881,1
conversion,conversion_00342,P3,suburban,direct,tablet,new,18.0,38.0,5575.41,5964.73,10.0,37.0,80.61,0.2585,65.79,0.0,,,,,,,,0.22,0.8631,0,0.57448,0
conversion,conversion_00386,P2,metro,search,desktop,new,50.0,4.0,5211.68,4703.05,14.0,19.0,141.42,0.1972,47.45,1.0,,,,,,,,0.4773,0.78184,0,1.0,1
conversion,conversion_00852,P3,island,email,desktop,premium,47.0,6.0,4700.71,6307.8,16.0,56.0,266.94,0.2968,19.86,2.0,,,,,,,,0.2908,0.99281,0,1.0,1
conversion,conversion_00226,P2,metro,social,tablet,new,34.0,2.0,3424.17,2278.49,14.0,21.0,537.32,0.0862,83.59,3.0,,,,,,,,0.1954,0.83778,0,1.0,1
conversion,conversion_00738,P2,regional,social,tablet,new,23.0,0.0,3381.43,2342.27,0.0,4.0,124.44,0.0356,11.09,2.0,,,,,,,,0.144,0.27427,0,0.08894,0
conversion,conversion_00621,P2,island,direct,android,value,39.0,20.0,3963.42,3870.87,9.0,14.0,33.36,0.2227,37.49,2.0,,,,,,,,0.2367,0.66587,0,0.65308,0
conversion,conversion_00846,P2,suburban,search,ios,standard,36.0,22.0,2972.67,3835.01,11.0,32.0,63.93,0.0217,44.64,0.0,,,,,,,,0.3723,0.82566,0,0.84623,0
conversion,conversion_00533,P2,island,affiliate,android,value,28.0,14.0,4973.38,7277.99,16.0,48.0,96.73,0.2607,58.61,1.0,,,,,,,,0.2361,0.80264,1,0.39664,1
conversion,conversion_00344,P3,metro,affiliate,android,standard,31.0,,3016.78,2144.99,8.0,46.0,83.8,0.1164,45.69,0.0,,,,,,,,0.205,0.58294,1,0.74084,0
conversion,conversion_00424,P2,island,social,ios,new,47.0,4.0,,3841.43,1.0,34.0,162.13,0.2838,90.64,2.0,,,,,,,,0.1969,0.49591,0,0.58252,1
conversion,conversion_00207,P3,metro,direct,ios,value,31.0,75.0,5700.17,7034.66,11.0,21.0,63.37,0.2848,109.08,2.0,,,,,,,,0.1603,1.0,0,0.64508,1
conversion,conversion_00323,P2,island,search,ios,new,,23.0,2452.03,1940.04,14.0,55.0,84.65,0.405,47.97,2.0,,,,,,,,0.2658,0.82084,0,0.7484,1
conversion,conversion_00420,P2,suburban,affiliate,ios,standard,51.0,15.0,4249.88,1735.33,2.0,11.0,27.37,0.0541,44.67,0.0,,,,,,,,0.4805,0.39964,0,0.50984,0
conversion,conversion_00542,P2,regional,social,ios,standard,49.0,4.0,3915.54,3452.65,6.0,33.0,96.07,0.0222,56.26,0.0,,,,,,,,0.1891,0.56244,0,0.65249,0
conversion,conversion_00770,P1,regional,email,tablet,value,39.0,33.0,5362.13,4844.4,7.0,22.0,238.49,0.2448,25.1,1.0,,,,,,,,0.3088,0.69175,0,0.78821,1
conversion,conversion_00537,P1,metro,social,ios,standard,31.0,3.0,2450.31,1371.47,7.0,36.0,237.89,0.2552,102.61,2.0,,,,,,,,0.1696,0.80255,0,0.70157,1
conversion,conversion_00412,P3,metro,affiliate,ios,premium,25.0,39.0,3763.52,5916.14,13.0,26.0,151.67,0.0914,63.46,0.0,,,,,,,,0.3543,0.83222,0,0.82987,1
